case_id,scenario,target_size,algorithm,run_index,is_warmup,time_ms
contained_5_n100,contained_fragment,100,CPython,7,False,0.9075
contained_5_n100,contained_fragment,100,CPython,8,False,0.9079
contained_5_n100,contained_fragment,100,CPython,9,False,0.9021
contained_5_n100,contained_fragment,100,CPython,10,False,0.9062
contained_5_n100,contained_fragment,100,CPython,11,False,0.933
contained_6_n100,contained_fragment,100,CPython,0,True,0.9147
contained_6_n100,contained_fragment,100,CPython,1,True,0.9109
contained_6_n100,contained_fragment,100,CPython,2,False,0.9357
contained_6_n100,contained_fragment,100,CPython,3,False,0.9681
contained_6_n100,contained_fragment,100,CPython,4,False,1.0349
contained_6_n100,contained_fragment,100,CPython,5,False,1.0657
contained_6_n100,contained_fragment,100,CPython,6,False,1.0293
contained_6_n100,contained_fragment,100,CPython,7,False,0.9475
contained_6_n100,contained_fragment,100,CPython,8,False,1.0108
contained_6_n100,contained_fragment,100,CPython,9,False,0.9437
contained_6_n100,contained_fragment,100,CPython,10,False,0.9697
contained_6_n100,contained_fragment,100,CPython,11,False,0.951
contained_7_n100,contained_fragment,100,CPython,0,True,0.9605
contained_7_n100,contained_fragment,100,CPython,1,True,0.9497
contained_7_n100,contained_fragment,100,CPython,2,False,0.9544
contained_7_n100,contained_fragment,100,CPython,3,False,0.948
contained_7_n100,contained_fragment,100,CPython,4,False,0.9831
contained_7_n100,contained_fragment,100,CPython,5,False,0.9826
contained_7_n100,contained_fragment,100,CPython,6,False,0.9792
contained_7_n100,contained_fragment,100,CPython,7,False,0.9757
contained_7_n100,contained_fragment,100,CPython,8,False,1.423
contained_7_n100,contained_fragment,100,CPython,9,False,1.0431
contained_7_n100,contained_fragment,100,CPython,10,False,1.1127
contained_7_n100,contained_fragment,100,CPython,11,False,0.9575
contained_8_n100,contained_fragment,100,CPython,0,True,0.962
contained_8_n100,contained_fragment,100,CPython,1,True,0.9844
contained_8_n100,contained_fragment,100,CPython,2,False,1.0191
contained_8_n100,contained_fragment,100,CPython,3,False,0.9966
contained_8_n100,contained_fragment,100,CPython,4,False,0.9818
contained_8_n100,contained_fragment,100,CPython,5,False,0.9762
contained_8_n100,contained_fragment,100,CPython,6,False,0.9801
